74	Севастополь[a] 	509992	0,35 	418 773 	82,11 	30 365 	5,95 	864 	590,27 	ЮФО
75	Сахалинская область 	485621	0,33 	402 063 	82,79 	86 194 	17,75 	87 101 	5,58 	ДВФО
76	Карачаево-Черкесская Республика 	465357	0,32 	199 631 	42,9 	265 897 	57,14 	14 277 	32,59 	СКФО
77	Республика Адыгея 	463167	0,32 	218 981 	47,28 	244 107 	52,7 	7792 	59,44 	ЮФО
78	Республика Тыва 	330368	0,23 	177 765 	53,81 	149 618 	45,29 	168 604 	1,96 	СФО
79	Камчатский край 	311667	0,21 	245 607 	78,8 	67 409 	21,63 	464 275 	0,67 	ДВФО
80	Республика Калмыкия 	269984	0,18 	124 462 	46,1 	146 673 	54,33 	74 731 	3,61 	ЮФО
81	Республика Алтай 	220954	0,15 	64 464 	29,18 	155 717 	70,47 	92 903 	2,38 	СФО
82	Еврейская автономная область 	156500	0,11 	108 681 	69,44 	49 624 	31,71 	36 271 	4,31 	ДВФО
83	Магаданская область 	139034	0,1 	134 641 	96,84 	5508 	3,96 	462 464 	0,30 	ДВФО
84	Чукотский автономный округ 	49527	0,03 	35 974 	72,64 	14 314 	28,9 	721 481 	0,07 	ДВФО
85	Ненецкий автономный округ 	44389	0,03 	32 538 	73,3 	11 573 	26,07 	176 810 	0,25 	СЗФО
